City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,okhotsk,59.3833,143.3,20.16,85,62,4.92,RU,1698671517
213,tyukhtet,56.5389,89.3011,20.88,84,79,8.39,RU,1698671517
214,avarua,-21.2078,-159.775,73.45,73,75,8.05,CK,1698671518
215,luckau,51.85,13.7167,64.08,62,91,6.46,DE,1698671518
216,akureyri,65.6835,-18.0878,32.11,78,25,4.23,IS,1698671518
217,nadym,65.5333,72.5167,9.36,93,7,3.98,RU,1698671518
218,i-n-salah,27.1935,2.4607,99.34,9,10,6.35,DZ,1698671518
219,khash,28.2211,61.2158,76.84,23,82,6.38,IR,1698671518
220,isafjordur,66.0755,-23.124,33.84,86,75,3.44,IS,1698671519
221,louiseville,46.2559,-72.9415,32.52,98,100,10.96,CA,1698671519
222,weno,7.4515,151.8468,83.1,78,95,12.12,FM,1698671519
223,tolanaro,-25.0319,46.9987,79.41,66,9,6.51,MG,1698671519
224,hefei,31.8639,117.2808,71.78,40,0,6.38,CN,1698671362
225,melenci,45.5139,20.3172,75.76,30,100,13.58,RS,1698671520
226,lompoc,34.6391,-120.4579,51.58,58,0,8.05,US,1698671520
227,coruripe,-10.1256,-36.1756,82.72,51,92,11.01,BR,1698671520
228,prince rupert,54.3161,-130.3201,36.34,76,8,3.49,CA,1698671445
229,tiksi,71.6872,128.8694,-2.38,100,100,5.46,RU,1698671520
230,jamestown,42.097,-79.2353,43.02,99,100,9.22,US,1698671345
231,tangalle,6.024,80.7911,78.96,82,100,5.41,LK,1698671520
232,pahrump,36.2083,-115.9839,42.85,27,0,2.35,US,1698671520
233,punch,33.7679,74.0897,66.04,48,0,1.72,IN,1698671521
234,ribeira grande,38.5167,-28.7,66.6,68,40,9.22,PT,1698671521
235,lilongwe,-13.9669,33.7873,88.7,28,69,16.73,MW,1698671521
236,tommot,58.9564,126.2925,1.74,99,80,2.21,RU,1698671521
237,huarmey,-10.0681,-78.1522,68.92,83,95,8.16,PE,1698671521
238,magadi,12.9667,77.2333,73.56,86,100,6.58,IN,1698671522
239,bay harbor,30.1471,-85.6146,66.97,97,20,4.61,US,1698671522
240,igarka,67.4667,86.5833,2.05,97,90,3.15,RU,1698671522
241,mujiayingzi,42.1167,118.7833,47.8,36,76,6.64,CN,1698671523
242,hanceville,34.0607,-86.7675,67.55,83,100,9.44,US,1698671523
243,homer,59.6425,-151.5483,42.69,81,100,3.44,US,1698671480
244,port augusta,-32.5,137.7667,58.28,61,56,17.9,AU,1698671524
245,revelstoke,50.9832,-118.2023,33.33,55,75,1.61,CA,1698671524
246,huaicheng,23.9051,112.1931,69.26,79,100,2.26,CN,1698671524
247,taupo,-38.6833,176.0833,54.81,86,68,9.15,NZ,1698671300
248,carnarvon,-24.8667,113.6333,68.18,76,0,24.83,AU,1698671526
249,betio village,1.358,172.9211,84.24,78,60,7.14,KI,1698671526
250,puerto montt,-41.4698,-72.9447,43.48,93,98,8.86,CL,1698671526
251,sitangkai,4.6628,119.3928,84.15,67,98,2.37,PH,1698671526
252,prince albert,53.2001,-105.7677,21.15,73,40,17.27,CA,1698671255
253,sao vicente,-23.9631,-46.3919,88.27,49,37,5.99,BR,1698671527
254,hadibu,12.65,54.0333,80.82,77,85,10.76,YE,1698671527
255,san matias,-16.3667,-58.4,96.85,34,64,9.6,BO,1698671481
256,pariaman,-0.619,100.12,78.85,89,63,3.2,ID,1698671528
257,champoton,19.35,-90.7167,73.53,86,10,5.37,MX,1698671528
258,tolmin,46.183,13.7332,65.77,92,100,5.99,SI,1698671528
259,nelson bay,-32.7167,152.15,69.01,72,28,5.01,AU,1698671529
260,colares,38.7992,-9.4469,67.19,63,20,13.0,PT,1698671529
261,ulladulla,-35.35,150.4667,67.77,48,99,6.64,AU,1698671529
262,wang sai phun,16.3885,100.538,80.82,92,100,4.29,TH,1698671530
263,floro,61.5996,5.0328,44.56,31,20,6.91,NO,1698671530
264,klyuchi,52.2667,79.1667,46.22,94,100,10.96,RU,1698671530
265,salinas,36.6777,-121.6555,60.06,37,0,9.22,US,1698671531
266,lobujya,27.95,86.8167,18.09,94,96,0.47,NP,1698671531
267,pekanbaru,0.5333,101.45,76.62,93,100,3.18,ID,1698671531
268,holyhead,53.3062,-4.6321,59.0,77,75,16.11,GB,1698671531
269,umm ruwaba,12.9061,31.2158,97.12,26,5,9.31,SD,1698671532
270,orchard homes,46.8633,-114.0484,17.74,90,100,3.44,US,1698671532
271,natal,-5.795,-35.2094,86.65,51,75,6.91,BR,1698671532
272,pemba,-12.974,40.5178,81.73,73,56,12.73,MZ,1698671271
273,moree,-29.4667,149.85,73.92,26,0,10.54,AU,1698671533
274,castanos,26.7833,-101.4167,41.74,91,100,12.28,MX,1698671409
275,romanovskaya,47.5426,42.0285,57.0,55,26,1.99,RU,1698671533
276,colonia,50.9333,6.95,62.58,74,0,6.91,DE,1698671533
277,malvan,16.0667,73.4667,82.63,74,42,4.38,IN,1698671534
278,atafu village,-8.5421,-172.5159,83.57,76,19,16.82,TK,1698671534
279,stanley,54.868,-1.6985,49.77,88,75,8.05,GB,1698671534
280,jamtara,23.95,86.8,75.9,55,70,6.04,IN,1698671535
281,srikakulam,18.3,83.9,76.86,69,35,8.43,IN,1698671535
282,mossel bay,-34.1831,22.146,62.55,66,0,29.48,ZA,1698671535
283,mount gambier,-37.8333,140.7667,47.89,71,76,13.06,AU,1698671536
284,san vicente,-26.6167,-54.1333,71.19,90,100,3.4,AR,1698671536
285,montevideo,-34.8335,-56.1674,57.22,77,100,26.46,UY,1698671262
286,kuraymah,18.55,31.85,100.92,15,1,8.55,SD,1698671537
287,smithers,54.7804,-127.1743,26.33,90,12,0.58,CA,1698671537
288,santana,-0.0583,-51.1817,91.58,55,20,12.66,BR,1698671537
289,uray,60.1247,64.7758,20.88,69,81,5.99,RU,1698671538
290,inhambane,-23.865,35.3833,71.58,60,75,17.27,MZ,1698671538
291,el granada,37.5027,-122.4694,58.98,60,40,0.0,US,1698671539
292,miasskoye,55.2784,61.8905,28.45,96,97,9.15,RU,1698671539
293,beloyarskiy,63.7119,66.6722,16.0,83,41,5.01,RU,1698671539
294,aykhal,66.0,111.5,-3.91,97,100,6.76,RU,1698671539
295,altay,47.8667,88.1167,40.59,97,100,2.55,CN,1698671540
296,talara,-4.5772,-81.2719,72.36,78,0,18.41,PE,1698671540
297,mampong,7.0627,-1.4001,90.48,50,18,1.28,GH,1698671541
298,acapulco de juarez,16.8634,-99.8901,77.68,86,80,3.22,MX,1698671542
299,tuyen quang,21.8233,105.2181,75.24,77,100,1.59,VN,1698671542
300,manaure balcon del cesar,10.3928,-73.0325,76.21,69,91,2.71,CO,1698671543
301,al bawiti,28.3492,28.8659,86.02,36,0,11.95,EG,1698671543
302,ladario,-19.0047,-57.6017,88.09,58,100,5.75,BR,1698671543
303,bereket,39.2446,55.5154,77.16,38,21,14.34,TM,1698671269
304,qamdo,31.1667,97.2333,30.49,52,67,5.95,CN,1698671544
305,kargasok,59.0556,80.8572,17.96,81,13,7.0,RU,1698671544
306,lokoja,7.8024,6.743,93.72,50,100,4.27,NG,1698671544
307,al jawf,29.5,38.75,75.16,42,11,11.52,SA,1698671545
308,mount isa,-20.7333,139.5,74.97,64,40,3.44,AU,1698671545
309,lakhimpur,27.95,80.7667,75.78,45,4,3.76,IN,1698671545
310,taksimo,56.3444,114.8794,11.48,60,15,1.77,RU,1698671546
311,taoudenni,22.6783,-3.9836,101.93,7,14,7.09,ML,1698671546
312,perth,-31.9333,115.8333,64.02,69,0,10.36,AU,1698671511
